obs	Country	Arrivals	Share	Gdp	Gdppc	Gkf	Cpi	Fdi	Exrate	ld_Arrivals	ld_Share	ld_Gdp	ld_Gdppc	ld_Gkf	ld_Cpi	ld_Fdi	ld_Exrate
"2012"	2	15518	1.49932367149758	208222727155.151	18771.0290922936	29764336438.5913	104.88138862835	1663327172.79259	97.555812965108	-0.0569256820873054	-0.0963396506281818	-0.0722766506030759	-0.0695360995607999	-0.195790213524081	0.0149035856697521	0.42082677055572	-0.0315060172887609
"1980"	3	22087	7.94210715569939	1144332882465.38	20277.4082099823	237669544182.529	22.3535971988693	576575201.60201	94.7917534707752	NA	NA	NA	NA	NA	NA	NA	NA
"1981"	3	20036	7.19167264895908	1153993656823.64	20424.0610003799	217192323615.381	26.3313049710991	1127027127.04991	92.5459575673736	-0.0974585446559608	-0.0992548447617478	0.00840683957735422	0.00720629637656067	-0.090097994068163	0.163771277814238	0.670232807586867	-0.0239770570711695
"1982"	3	22297	8.05236547490069	1158766409130.94	20493.344512639	213504688586.13	30.645157062109	617175560.44502	93.6417726371224	0.106921484772863	0.113042115941652	0.00412732747578204	0.00338650887586489	-0.0171244519462732	0.151716107717878	-0.602185061651301	0.0117712130832723
"1983"	3	22140	7.85663591199432	1172314746507.89	20725.4298286204	204959720607.26	35.1270813125088	1189582074.72179	98.7791870135495	-0.00706621298774301	-0.0246073822754065	0.0116242112812692	0.0112612649145731	-0.0408453180282251	0.136497738210938	0.656203804467751	0.0534103520203253
"1984"	3	23043	7.51075619295958	1210131889643.31	21389.2203793671	225426796331.914	38.9367169253487	1320641872.02662	99.6258395693401	0.0399761084041632	-0.0450223616243575	0.0317491432325916	0.0315256341015502	0.0951820030096329	0.102965304931872	0.104515837369483	0.0085346395658652
"1985"	3	25047	7.82474226804124	1243992417325.25	21981.3555854788	232805702702.195	42.5222563256686	1071697218.86552	99.2500124997914	0.0833920241953194	0.0409546467126023	0.0275965455268761	0.0273075461347538	0.0322087337009762	0.0880899318308379	-0.208874307430431	-0.00377951886085537
"1986"	3	24672	7.47183525136281	1279570250745.34	22608.7841258004	241259910844.19	44.9873146633885	-171754750.556129	106.251562473959	-0.0150850624990557	-0.0461501470092642	0.0281983810517872	0.0281438882328189	0.0356706088940193	0.0563529365511317	NA	0.0681674678238862
"1987"	3	25749	7.15846538782319	1320413629239.03	23328.0668328971	258728142963.592	47.1162286823284	4174570240.72996	109.349844169264	0.0427267940232738	-0.0428450251922772	0.0314207630443306	0.0313187118487814	0.069903048778631	0.0462369460261853	NA	0.0287428087242141
"1988"	3	26155	6.79350649350649	1375796758357.88	24294.7917402366	272491050792.947	49.5252629669184	6801431954.31929	108.074032099465	0.0156445854183822	-0.0523283981678242	0.0410879809231517	0.0406047749526799	0.0518279030638631	0.0498654026646972	0.488121754878026	-0.0117358473669524
"1989"	3	25935	6.32406730065838	1422414028860.13	25099.1587658086	284447566042.522	52.6065858890683	2165726940.76292	110.501491641806	-0.00844696901921083	-0.0716046671294401	0.0333224246183264	0.0325723345729738	0.0429431620081928	0.0603584165706197	-1.1443770970284	0.0222125451966431
"1990"	3	26679	6.07030716723549	1450659969659.3	25576.1531652981	297637218199.28	56.0240531299982	6410685449.35952	115.842235962734	0.0282833312822497	-0.0409533534449691	0.0196631558333422	0.0188260701037564	0.0453264218475233	0.0629397997738743	1.08521012509094	0.0472002107280423
"1991"	3	25878	5.84813559322034	1472977612473.85	25951.6560072777	302285779906.457	59.553568477188	2400685993.41399	116.013899768337	-0.0304835521918516	-0.0372862995146042	0.0152673344012619	0.0145750225117283	0.0154975047117674	0.0610950993598092	-0.982211672491683	0.00148077890135667
"1992"	3	26113	5.44247603167987	1485266303328.47	26150.3957646361	296888981990.759	62.5788673462079	3104520913.5432	114.154764087265	0.00904008772326748	-0.0718887982343417	0.00830814624498899	0.00762890191417931	-0.0180145900928075	0.0495514207272532	0.257104881224269	-0.0161549020877878
"1993"	3	26379	5.32156546298164	1472599866826.43	25911.5376019085	263333215774.497	65.3800700027078	3748776013.26658	96.1025649572504	0.0101349644479463	-0.0224665901729886	-0.00856462949972681	-0.00917598802975483	-0.119938060544996	0.043789833217355	0.188569981915606	-0.172139101307029
"1994"	3	27480	5.28664871104271	1504275838198.94	26463.5091883831	277387308496.883	68.0132004998178	2199180295.33475	93.7009383176944	0.0408902282891734	-0.00658298889168774	0.0212821562510044	0.0210784355115479	0.0519945448337502	0.0394843393328888	-0.533344692336573	-0.0253078028650036
"1995"	3	31052	5.8588679245283	1547701825713.33	27227.0349715314	300515125116.138	71.5800652157612	4841781425.99734	87.3243779270342	0.122204751189285	0.102771866850508	0.0284595257966984	0.0284436401736041	0.0800833306731263	0.0511148050930048	0.789198018327898	-0.0704785362422502
"1996"	3	32943	5.86174377224199	1565263361615.97	27528.2382374432	298687980150.225	74.4250322901597	3545881094.09677	97.0283828602854	0.0591155767402523	0.000490733392728204	0.0112829544511186	0.0110019103710464	-0.00609860200298229	0.0389757243368694	-0.311496041546306	0.105373875494533
"1997"	3	34692	5.9	1594471360285.38	28027.0862051206	306414338081.826	75.9456142334327	3699857611.80497	96.4908918184694	0.0517303175385226	0.00650521953358751	0.0184881537251655	0.017959084222559	0.0255387482069942	0.0202251411657102	0.0425076609275479	-0.00555492391989443
"1998"	3	34933	5.78360927152318	1617561939340.79	28424.7845798522	316643480100.362	77.4363808444849	2634605953.58008	96.8233862768951	0.00692282836636515	-0.0199244216698229	0.0143777941731145	0.0140900540143427	0.0328382404322198	0.0194392249842705	-0.339560708036469	0.00343994028350192
"1999"	3	36516	5.82392344497608	1641034262999.01	28832.4042997899	331392152785.932	78.7184401299894	6942860356.75345	95.5934067765534	0.0443185795142611	0.00694623681615414	0.0144066513159764	0.014238442871422	0.0455259532218122	0.0164207302123245	0.968980217180651	-0.0127847079664498
"2000"	3	41181	6.08286558345643	1700991026355.35	29872.2875934861	350686732114.76	80.701608199317	13176403310.8984	90.7084881918632	0.120226464234797	0.0435017319554438	0.0358843466573084	0.0354313103459205	0.0565908981202554	0.0248810660719618	0.640713757158565	-0.0524529128075137
"2001"	3	39653	5.86582840236686	1732674152132.65	30411.6107517741	357933416975.18	82.9514207149407	14873909552.7108	91.9684671922132	-0.0378103776761272	-0.0363321808068173	0.018454929852993	0.0178932538386185	0.0204536591482167	0.0274966406572004	0.121181039447322	0.0137948322877532
"2002"	3	39799	5.71824712643678	1740496071398.45	30503.441312928	370537366485.119	84.9929172568955	14699160476.5557	94.2100964983914	0.00367517908509285	-0.0254814052063621	0.00450420335689472	0.00301503906198697	0.0346073108612508	0.0243127827740661	-0.0118182596483507	0.0240815869635522
"2003"	3	39604	5.73971014492754	1739685377907.43	30354.0072242591	368486592272.329	87.2677276893595	16537792207.3824	100.007499875002	-0.00491166308632884	0.00374639965678525	-0.000465891516000738	-0.00491096464255314	-0.00554996750106795	0.0264127965007832	0.117857816950178	0.0597178245754701
"2004"	3	37071	4.86496062992126	1769793508683.99	30680.1330723841	375936978010.726	89.2008999250065	16791130464.5435	101.826636222729	-0.0660951304701047	-0.165350088565446	0.0171585984373301	0.0106867713826215	0.0200171913074101	0.0219104052506367	0.0152025997906158	0.0180265404481386
"2005"	3	36513	4.52453531598513	1786275014006.62	30814.0575135465	373205417994.827	90.984084659612	19636818499.0314	100.597490041832	-0.0151666312296346	-0.0725437438129362	0.00926957578673537	0.00435568471170278	-0.00729253112905326	0.0197934689902839	0.156555500463796	-0.0121444149019849
"2006"	3	41058	4.81336459554514	1825553840487.83	31397.1260977482	393867603016.825	92.8672610615785	39007009353.8606	100.221662972283	0.117317339637886	0.0618814604161559	0.0217509614288645	0.018745364543685	0.0538858333351548	0.0204865758059034	0.686335058082719	-0.00374294486033566
"2007"	3	43654	4.8024202420242	1856279056972.99	31764.7628237878	404621920742.964	94.5587867677697	40042891549.593	101.059149014183	0.0613092149184702	-0.00227633176732978	0.016690561799134	0.0116412249251567	0.0269382821932354	0.0180505501087724	0.0262098113600864	0.00832161661683362
"2008"	3	42734	4.60992448759439	1834816174045.02	31190.1773709815	389128523625.721	97.7501874843766	-24909662511.2214	102.590790153497	-0.0213000597960882	-0.0409085311844657	-0.0116296781782239	-0.0182543707076377	-0.039043418092426	0.0331933935769779	NA	0.0150421848932911
"2009"	3	43239	4.85286195286195	1734003901473.55	29342.4687616964	323310825471.655	98.4834597116911	40353601486.0625	103.812436459392	0.0117480094482776	0.0513571475433248	-0.0565111705157122	-0.0610673050114894	-0.185295515511839	0.00747349550652121	NA	0.0118376111806597
"2010"	3	43626	4.59704952581665	1763885790470.28	29756.4549830212	344779022519.216	100	-5287645795.29718	99.9999999999996	0.00891043712690021	-0.054153934012219	0.0170860825166486	0.0140101702932398	0.0642895289143404	0.0152815736191974	NA	-0.0374155893143611
"2011"	3	46119	4.63507537688442	1771814582852.04	29838.8518703169	335377061344.331	102.741438213483	28002522666.1994	100.017499708338	0.0555717097025976	0.00823777115393232	0.00448499863413687	0.00276521572417998	-0.027648242264025	0.0270453375269559	NA	0.000174981773180427
"2012"	3	46360	4.4792270531401	1729863663436.92	29053.9450067746	299161396095.604	105.866177818515	6682511349.68315	98.1875302078296	0.00521200587297876	-0.0342019626678978	-0.0239616113490122	-0.0266570237442227	-0.114272241081871	0.0299602995958654	-1.43280073389005	-0.0184659440909405
"1980"	4	1602	0.576051779935275	11686833735.9742	1830.64438220147	4029916161.8276	NA	234594450.568507	220.061833848615	NA	NA	NA	NA	NA	NA	NA	NA
"1981"	4	2151	0.772074659009332	12331254286.9249	1881.14512205604	4635828752.67215	NA	295663767.442891	219.5209960083	0.294680001639426	0.29288370153364	0.0536741519937536	0.0272126725931106	0.14006941397448	NA	0.231364606802106	-0.00246068807277133
"1982"	4	1355	0.489346334416757	12270370233.741	1823.4575209247	4604050800.61192	NA	340281452.27431	218.436820306836	-0.462131395953929	-0.45601076478514	-0.0049496062693386	-0.0311462632450619	-0.0068784613847015	NA	0.140550188102878	-0.00495106092767283
